timestamp,func_name,syn_correct,exec_correct,assert_correct,avg_line_cov,avg_branch_cov,reward
2025-04-07T22:44:04.154076,create_sorted_array,1,0,0,0,0,0
2025-04-07T22:44:04.168863,max_difference,1,0,0,0,0,0
2025-04-07T22:44:04.192473,stoneGame,1,0,0,0,0,0
2025-04-07T22:44:04.203814,__init__,1,0,0,0,0,0
2025-04-07T22:44:04.221976,__init__,1,0,0,0,0,0
2025-04-07T22:44:04.238454,minSpeedOnTime,1,0,0,0,0,0
2025-04-07T22:44:04.253498,__init__,1,0,0,0,0,0
2025-04-07T22:44:04.262503,__init__,0,0,0,0,0,-1
2025-04-07T22:44:04.281153,largestNumber,1,0,0,0,0,0
2025-04-07T22:45:09.836896,__init__,1,0,0,0,0,0
2025-04-07T22:45:09.843044,maxWidthOfVerticalArea,0,0,0,0,0,-1
2025-04-07T22:45:09.862485,eatenApples,1,0,0,0,0,0
2025-04-07T22:45:09.883030,__init__,1,0,0,0,0,0
2025-04-07T22:45:09.896638,__init__,1,0,0,0,0,0
2025-04-07T22:45:09.911934,numRabbits,1,0,0,0,0,0
2025-04-07T22:45:09.924703,__init__,1,0,0,0,0,0
2025-04-07T22:45:09.935700,__init__,1,0,0,0,0,0
2025-04-07T22:45:09.954629,min_operations,1,0,0,0,0,0
2025-04-07T22:46:08.362755,reconstructMatrix,1,0,0,0,0,0
2025-04-07T22:46:11.305479,find_pairs,1,1,0,1.0,1.0,0.8
2025-04-07T22:46:11.322306,minOperationsMaxProfit,1,0,0,0,0,0
2025-04-07T22:46:11.334291,__init__,1,0,0,0,0,0
2025-04-07T22:46:11.357598,__init__,1,0,0,0,0,0
2025-04-07T22:46:11.376843,minNumberOfSemesters,1,0,0,0,0,0
2025-04-07T22:46:11.394971,__init__,1,0,0,0,0,0
2025-04-07T22:46:11.408069,__init__,1,0,0,0,0,0
2025-04-07T22:46:11.424438,__init__,1,0,0,0,0,0
2025-04-07T22:46:11.438881,__init__,1,0,0,0,0,0
2025-04-07T22:47:02.234724,__init__,1,0,0,0,0,0
2025-04-07T22:47:04.161541,maxScore,1,1,0,1.0,1.0,0.8
2025-04-07T22:47:04.169966,__init__,0,0,0,0,0,-1
2025-04-07T22:47:04.201740,shortestBridge,1,0,0,0,0,0
2025-04-07T22:47:04.213917,precedence,1,0,0,0,0,0
2025-04-07T22:47:04.236674,__init__,1,0,0,0,0,0
2025-04-07T22:47:04.242642,maxScore,0,0,0,0,0,-1
2025-04-07T22:47:04.255949,splitIntoFibonacci,1,0,0,0,0,0
2025-04-07T22:47:04.269609,pyramidTransition,0,0,0,0,0,-1
2025-04-07T22:47:04.289958,largestSubmatrix,0,0,0,0,0,-1
2025-04-07T22:47:04.309297,__init__,1,0,0,0,0,0
2025-04-07T22:51:12.413948,__init__,1,0,0,0,0,0
2025-04-07T22:51:12.427800,sumPaths,1,0,0,0,0,0
2025-04-07T22:51:12.437647,__init__,1,0,0,0,0,0
2025-04-07T22:51:12.449216,removeInvalidParentheses,1,0,0,0,0,0
2025-04-07T22:51:14.746565,minSeededValue,1,1,0,1.0,1.0,0.8
2025-04-07T22:51:14.772918,group_strings,1,0,0,0,0,0
2025-04-07T22:51:16.575047,min_bit_flips,1,1,0,1.0,1.0,0.8
2025-04-07T22:51:16.590974,__init__,1,0,0,0,0,0
2025-04-07T22:52:20.765226,isBipartite,1,0,0,0,0,0
2025-04-07T22:52:20.783166,minOperations,1,0,0,0,0,0
2025-04-07T22:52:20.798010,minCost,1,0,0,0,0,0
2025-04-07T22:52:23.010525,minSpaceWastedKResizing,1,1,0,1.0,1.0,0.8
2025-04-07T22:52:23.031198,removeDuplicateLetters,1,0,0,0,0,0
2025-04-07T22:52:23.044764,minSpeedOnTime,1,0,0,0,0,0
2025-04-07T22:52:23.057217,reachableNodes,1,0,0,0,0,0
2025-04-07T22:52:23.070191,maxStudents,0,0,0,0,0,-1
2025-04-07T22:52:23.097783,numsSameConsecDiff,0,0,0,0,0,-1
2025-04-07T22:52:23.110629,maxValue,1,0,0,0,0,0
2025-04-07T22:56:34.979105,min_operations,1,1,1,0.6666666666666666,0.75,0.7666666666666667
2025-04-07T22:56:34.996525,anagramOperations,1,0,0,0,0,0
2025-04-07T22:56:35.003205,destCity,0,0,0,0,0,-1
2025-04-07T22:56:35.020751,ways,1,0,0,0,0,0
2025-04-07T22:56:35.033718,largestPalindrome,1,0,0,0,0,0
2025-04-07T22:56:35.054985,sum_of_unique_elements,0,0,0,0,0,-1
2025-04-07T22:56:35.072489,__init__,1,0,0,0,0,0
2025-04-07T22:56:35.087223,shortestSubstringQueries,1,0,0,0,0,0
2025-04-07T22:56:35.092123,canFinish,0,0,0,0,0,-1
2025-04-07T23:02:12.807666,__init__,1,0,0,0,0,0
2025-04-07T23:02:14.626508,fair_candy_swap,1,1,0,0.8888888888888888,0.8333333333333334,0.6888888888888889
2025-04-07T23:02:15.051034,precedence,1,0,0,0,0,0
2025-04-07T23:02:15.058623,__init__,0,0,0,0,0,-1
2025-04-07T23:02:15.484649,rand7,1,0,0,0,0,0
2025-04-07T23:02:15.893918,__init__,0,0,0,0,0,-1
2025-04-07T23:02:16.323516,shiftGrid,1,0,0,0,0,0
2025-04-07T23:03:23.789729,max_difference,1,1,0,0.8888888888888888,0.75,0.6555555555555557
2025-04-07T23:03:25.595806,count_prefixes,1,1,0,1.0,0,0.4
2025-04-07T23:03:25.615572,powerfulIntegers,1,0,0,0,0,0
2025-04-07T23:03:26.049488,min_operations,1,0,0,0,0,0
2025-04-07T23:03:26.066101,diffWaysToCompute,1,0,0,0,0,0
2025-04-07T23:03:27.404311,searchInsert,1,1,1,1.0,1.0,1.0
2025-04-07T23:03:27.836000,equationsPossible,1,0,0,0,0,0
